uniprot_id,gene_name,protein_name,seq_length
A0A679LBA0,BQ2027_MB0553,PROBABLE DOLICHYL-PHOSPHATE SUGAR SYNTHASE (DOLICHOL-PHOSPHATE SUGAR SYNTHETASE),210
A0A1R3XXH2,mmpL13,Probable conserved transmembrane transport protein mmpl13b,781
A0A1R3Y2B5,ugpAb,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPO,180
A0A1R3XXU5,pknH2,non-specific serine/threonine protein kinase,588
A0A1R3Y527,BQ2027_MB3752,Possible oxidoreductase,333
A0A1R3XZ46,BQ2027_MB1612C,Probable phiRv1 integrase,354
A0A1R3Y026,pncA,nicotinamidase,186
A0A1R3XY07,BQ2027_MB1014,PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER,431
A0A1R3Y070,BQ2027_MB1974,PROBABLE OXIDOREDUCTASE,244
A0A679LC05,mmpL1a,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1A [FIRST PART],591
A0A1R3XWF0,BQ2027_MB0807,FAD-dependent oxidoreductase 2 FAD binding domain-containing protein,191
A0A679LBX9,mmpL1b,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1B [SECOND PART],367
A0A1R3XWG6,BQ2027_MB0818C,PROBABLE OXIDOREDUCTASE [SECOND PART],198
A0A679LB87,pks6b,PROBABLE MEMBRANE BOUND POLYKETIDE SYNTHASE PKS6B [SECOND PART],946
A0A1R3XXU2,BQ2027_MB1290,PROBABLE OXIDOREDUCTASE [FIRST PART],274
A0A1R3Y0I2,BQ2027_MB2100C,Possible hypothetical exported or envelope protein,262
A0A1R3Y436,rhlE,RNA helicase,527
A0A1R3Y3Y4,BQ2027_MB3370,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily),297
A0A1R3Y033,BQ2027_MB2055C,RES domain-containing protein,79
A0A1R3Y5T2,eccc2,POSSIBLE CONSERVED MEMBRANE PROTEIN [FIRST PART],833
A0A679LBL9,pks6a,PROBABLE MEMBRANE BOUND POLYKETIDE SYNTHASE PKS6A [FIRST PART],460
A0A1R3Y2B6,ugpAa,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPO,123
A0A679LBA9,vapc3,PIN domain-containing protein,102
A0A1R3XWX5,galT,Galactose-1-phosphate uridylyltransferase,394
A0A1R3Y0W7,cobLb,Probable precorrin-6y methyltransferase CobLb [SECOND PART],277
A0A1R3Y0S8,aceE,Pyruvate dehydrogenase E1 component,901
A0A1R3Y4B2,BQ2027_MB3507,PNPLA domain-containing protein,433
A0A1R3Y4V7,glpKa,ATP:glycerol 3-phosphotransferase,251
A0A1R3Y4Z5,glpKb,PROBABLE GLYCEROL KINASE GLPKB [SECOND PART] (ATP:GLYCEROL 3-PHOSPHOTRANSFERASE),265
A0A1R3XXW0,tbd2,Tbd2 protein,798
A0A1R3Y005,BQ2027_MB2056C,Phosphoribosyltransferase domain-containing protein,606
A0A1R3XYY6,pknDb,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKNDb [SECOND PART](PROTEIN KINA,369
A0A1R3XWD4,recBa,DNA 3'-5' helicase,897
A0A1R3XXU1,pknDa,non-specific serine/threonine protein kinase,291
A0A679LAD9,hdda,Possible d-alpha-d-heptose-7-phosphate kinase hdda,305
A0A1R3Y3X8,PPE56d,PPE FAMILY PROTEIN [THIRD PART],1219
A0A679LAA5,BQ2027_MB0074,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ,280
A0A1R3Y5L8,BQ2027_MB3356,Uncharacterized protein,116
A0A1R3XWF6,BQ2027_MB0808,FAD-dependent oxidoreductase 2 FAD binding domain-containing protein,368
A0A1R3Y0P0,PE_PGRS37,Pe-pgrs family protein pe_pgrs37,355
A0A1R3XZ13,BQ2027_MB1707,"ABC transporter, substrate-binding protein (Cluster 12, methionine/phosphonates)",274
A0A679LB86,BQ2027_MB0227,diacylglycerol O-acyltransferase,257
A0A1R3Y5J4,eccd2,Esx conserved component eccd2. esx-2 type vii secretion system protein. probable,289
A0A1R3Y3B3,mesTa,PROBABLE EPOXIDE HYDROLASE MESTA [FIRST PART] (EPOXIDE HYDRATASE) (ARENE-OXIDE H,208
A0A1R3XXU9,BQ2027_MB1293C,HYPOTHETICAL HIT-LIKE PROTEIN,144
A0A1R3Y4F0,cyp142b,PROBABLE CYTOCHROME P450 MONOOXYGENASE 142 CYP142B [SECOND PART],193
A0A1R3Y545,BQ2027_MB3779C,Conserved protein,173
A0A1R3XZP1,BQ2027_MB1928,POSSIBLE DEHYDROGENASE [FIRST PART],107
A0A1R3Y1N3,PE_PGRS44,Pe-pgrs family protein pe_pgrs44,546
A0A1R3XZB1,PPE27,Ppe family protein ppe27,350
A0A1R3XZE5,PE_PGRS32b,PE-PGRS FAMILY PROTEIN [SECOND PART],540
A0A1R3Y222,PE_PGRS47,Pe-pgrs family protein pe_pgrs47,504
A0A1R3Y453,PPE55b,PPE FAMILY PROTEIN [SECOND PART],1061
A0A1R3XUN1,BQ2027_MB0010C,PROBABLE CONSERVED MEMBRANE PROTEIN,111
A0A1R3XWC7,PE_PGRS10,Pe-pgrs family protein pe_pgrs10,909
A0A0G2QBZ3,BQ2027_MB3828,PUTATIVE TRANSPOSASE [SECOND PART],243
A0A1R3XZK3,BQ2027_MB1909,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN [SECOND PART],166
A0A1R3Y615,PE_PGRS54,Pe-pgrs family protein pe_pgrs54,1460
A0A1R3Y5I9,espg2,Esx-2 secretion-associated protein espg2,72
A0A1R3XX02,BQ2027_MB1019C,5-formyltetrahydrofolate cyclo-ligase,197
A0A679LB02,PPE6,Ppe family protein ppe6,1985
A0A1R3Y5K1,BQ2027_MB3928C,DUF5631 domain-containing protein,161
A0A1R3Y0M4,BQ2027_MB2252,Fe2OG dioxygenase domain-containing protein,124
A0A1R3Y172,BQ2027_MB1729C,Probable catechol-o-methyltransferase,196
A0A1R3XYN3,mmpS6,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS6,148
A0A1R3Y239,BQ2027_MB2783C,Transposase,90
