uniprot_id,gene_name,protein_name,seq_length,embed_idx
A0A679LBA0,BQ2027_MB0553,PROBABLE DOLICHYL-PHOSPHATE SUGAR SYNTHASE (DOLICHOL-PHOSPHATE SUGAR SYNTHETASE),210,0
A0A1R3XXH2,mmpL13,Probable conserved transmembrane transport protein mmpl13b,781,1
A0A1R3Y2B5,ugpAb,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPO,180,2
A0A1R3XXU5,pknH2,non-specific serine/threonine protein kinase,588,3
A0A1R3Y527,BQ2027_MB3752,Possible oxidoreductase,333,4
A0A1R3XZ46,BQ2027_MB1612C,Probable phiRv1 integrase,354,5
A0A1R3Y026,pncA,nicotinamidase,186,6
A0A1R3XY07,BQ2027_MB1014,PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER,431,7
A0A1R3Y070,BQ2027_MB1974,PROBABLE OXIDOREDUCTASE,244,8
A0A679LC05,mmpL1a,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1A [FIRST PART],591,9
A0A1R3XWF0,BQ2027_MB0807,FAD-dependent oxidoreductase 2 FAD binding domain-containing protein,191,10
A0A679LBX9,mmpL1b,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL1B [SECOND PART],367,11
A0A1R3XWG6,BQ2027_MB0818C,PROBABLE OXIDOREDUCTASE [SECOND PART],198,12
A0A679LB87,pks6b,PROBABLE MEMBRANE BOUND POLYKETIDE SYNTHASE PKS6B [SECOND PART],946,13
A0A1R3XXU2,BQ2027_MB1290,PROBABLE OXIDOREDUCTASE [FIRST PART],274,14
A0A1R3Y0I2,BQ2027_MB2100C,Possible hypothetical exported or envelope protein,262,15
A0A1R3Y436,rhlE,RNA helicase,527,16
A0A1R3Y3Y4,BQ2027_MB3370,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily),297,17
A0A1R3Y033,BQ2027_MB2055C,RES domain-containing protein,79,18
A0A1R3Y5T2,eccc2,POSSIBLE CONSERVED MEMBRANE PROTEIN [FIRST PART],833,19
A0A679LBL9,pks6a,PROBABLE MEMBRANE BOUND POLYKETIDE SYNTHASE PKS6A [FIRST PART],460,20
A0A1R3Y2B6,ugpAa,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPO,123,21
A0A679LBA9,vapc3,PIN domain-containing protein,102,22
A0A1R3XWX5,galT,Galactose-1-phosphate uridylyltransferase,394,23
A0A1R3Y0W7,cobLb,Probable precorrin-6y methyltransferase CobLb [SECOND PART],277,24
A0A1R3Y0S8,aceE,Pyruvate dehydrogenase E1 component,901,25
A0A1R3Y4B2,BQ2027_MB3507,PNPLA domain-containing protein,433,26
